   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:10(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:26(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:49(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
        1    0.000    0.000    0.000    0.000 _globals.py:33(ModuleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 _globals.py:45(VisibleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 _globals.py:56(_NoValue)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:340(PackageLoaderDebug)
        1    0.000    0.000    0.000    0.000 _import_tools.py:9(PackageLoader)
       98    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
       38    0.000    0.000    0.001    0.000 _inspect.py:142(formatargspec)
        7    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
        5    0.000    0.000    0.000    0.000 _inspect.py:145(<lambda>)
       60    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
       43    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
       43    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
       38    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
       38    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
       43    0.000    0.000    0.001    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.000    0.000 _internal.py:198(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:217(_missing_ctypes)
        1    0.000    0.000    0.000    0.000 _internal.py:224(_ctypes)
        1    0.017    0.017    0.078    0.078 _internal.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:631(TooHardError)
        1    0.000    0.000    0.000    0.000 _iotools.py:154(LineSplitter)
        1    0.000    0.000    0.000    0.000 _iotools.py:250(NameValidator)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:444(ConverterError)
        1    0.000    0.000    0.000    0.000 _iotools.py:452(ConverterLockError)
        1    0.000    0.000    0.000    0.000 _iotools.py:460(ConversionWarning)
        1    0.000    0.000    0.000    0.000 _iotools.py:473(StringConverter)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _version.py:18(NumpyVersion)
        1    0.000    0.000    0.000    0.000 _version.py:7(<module>)
       21    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       21    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       21    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
      155    0.001    0.000    0.001    0.000 _weakrefset.py:36(__init__)
       21    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       37    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
      952    0.008    0.000    0.008    0.000 _weakrefset.py:70(__contains__)
       29    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
        7    0.000    0.000    0.001    0.000 abc.py:105(register)
      543    0.004    0.000    0.014    0.000 abc.py:128(__instancecheck__)
    23/13    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
       55    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
       48    0.003    0.000    0.009    0.000 abc.py:86(__new__)
      144    0.001    0.000    0.001    0.000 abc.py:89(<genexpr>)
        1    0.001    0.001    0.003    0.003 addJHUGentomadgraph.py:3(<module>)
        1    0.001    0.001    0.507    0.507 add_newdocs.py:10(<module>)
        1    0.000    0.000    0.000    0.000 anomalouscouplingmcsample.py:1(<module>)
        3    0.000    0.000    0.000    0.000 anomalouscouplingmcsample.py:109(nevents)
       36    0.000    0.000    0.000    0.000 anomalouscouplingmcsample.py:121(getmasses)
       36    0.000    0.000    0.000    0.000 anomalouscouplingmcsample.py:128(getkind)
    31043    0.050    0.000    0.050    0.000 anomalouscouplingmcsample.py:14(identifiers)
        3    0.000    0.000    0.000    0.000 anomalouscouplingmcsample.py:17(xsec)
      259    0.003    0.000    0.029    0.000 anomalouscouplingmcsample.py:19(decaycard)
      208    0.083    0.000   28.678    0.138 anomalouscouplingmcsample.py:48(datasetname)
        1    0.000    0.000    0.000    0.000 anomalouscouplingmcsample.py:7(AnomalousCouplingMCSample)
      294    0.003    0.000    0.003    0.000 anomalouscouplingmcsample.py:8(__init__)
      332    0.001    0.000    0.001    0.000 anomalouscouplingmcsample.py:95(<genexpr>)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.002    0.002    0.002    0.002 arrayprint.py:5(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:542(FloatFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:651(IntegerFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:671(LongFloatFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:701(LongComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:712(ComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:729(DatetimeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:750(TimedeltaFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:777(SubArrayFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:787(StructureFormat)
        1    0.000    0.000    0.000    0.000 arraysetops.py:26(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:20(Arrayterator)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.063    0.063    0.063    0.063 bisect.py:1(<module>)
        1    0.039    0.039    0.041    0.041 case.py:1(<module>)
        1    0.000    0.000    0.000    0.000 case.py:1018(FunctionTestCase)
        1    0.000    0.000    0.000    0.000 case.py:131(TestCase)
        1    0.000    0.000    0.000    0.000 case.py:25(SkipTest)
        1    0.000    0.000    0.000    0.000 case.py:34(_ExpectedFailure)
        1    0.000    0.000    0.000    0.000 case.py:45(_UnexpectedSuccess)
        7    0.000    0.000    0.000    0.000 case.py:607(_deprecate)
        1    0.000    0.000    0.000    0.000 case.py:98(_AssertRaisesContext)
        1    0.000    0.000    0.000    0.000 chebyshev.py:2041(Chebyshev)
        1    0.000    0.000    0.000    0.000 chebyshev.py:87(<module>)
        1    0.000    0.000    0.000    0.000 clonedrequest.py:1(<module>)
        9    0.000    0.000    0.000    0.000 clonedrequest.py:112(responsible)
       35    0.000    0.000    0.000    0.000 clonedrequest.py:120(<genexpr>)
       60    0.000    0.000    0.075    0.001 clonedrequest.py:123(allsamples)
     8180    0.007    0.000    0.007    0.000 clonedrequest.py:40(identifiers)
        1    0.000    0.000    0.000    0.000 clonedrequest.py:45(cvmfstarball_anyversion)
        1    0.000    0.000    0.000    0.000 clonedrequest.py:46(foreostarball)
        1    0.000    0.000    0.000    0.000 clonedrequest.py:48(cvmfstarballexists)
        1    0.000    0.000    0.000    0.000 clonedrequest.py:8(ClonedRequest)
       54    0.001    0.000    0.075    0.001 clonedrequest.py:9(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:92(__new__)
       13    0.010    0.001    0.014    0.001 collections.py:305(namedtuple)
      457    0.001    0.000    0.001    0.000 collections.py:349(<genexpr>)
       58    0.000    0.000    0.000    0.000 collections.py:373(<genexpr>)
       58    0.000    0.000    0.000    0.000 collections.py:375(<genexpr>)
        1    0.000    0.000   29.250   29.250 collections.py:458(__init__)
        2    0.000    0.000    0.000    0.000 collections.py:50(__init__)
        1    0.002    0.002   29.250   29.250 collections.py:528(update)
   744802    0.759    0.000    0.759    0.000 contextlib.py:12(__init__)
      217    0.001    0.000    0.001    0.000 contextlib.py:149(__init__)
744802/744787    1.489    0.000   19.526    0.000 contextlib.py:15(__enter__)
      217    0.000    0.000    0.000    0.000 contextlib.py:151(__enter__)
      217    0.002    0.000    0.536    0.002 contextlib.py:153(__exit__)
744802/744790    3.320    0.000   14.342    0.000 contextlib.py:21(__exit__)
        9    0.000    0.000    0.000    0.000 contextlib.py:54(contextmanager)
   744802    1.844    0.000    2.604    0.000 contextlib.py:82(helper)
        1    0.000    0.000    0.000    0.000 copy_reg.py:14(pickle)
        1    0.000    0.000    0.000    0.000 copy_reg.py:27(constructor)
        1    0.000    0.000    0.000    0.000 core.py:1123(_DomainedBinaryOperation)
       43    0.000    0.000    0.002    0.000 core.py:113(get_object_signature)
        6    0.000    0.000    0.000    0.000 core.py:1144(__init__)
        1    0.000    0.000    0.000    0.000 core.py:130(MAError)
        1    0.000    0.000    0.000    0.000 core.py:138(MaskError)
        1    0.000    0.000    0.000    0.000 core.py:1433(LinearCombination)
      708    0.006    0.000    0.006    0.000 core.py:1449(__init__)
        1    0.000    0.000    0.000    0.000 core.py:1532(AffineScalarFunc)
        1    0.000    0.000    0.000    0.000 core.py:1572(dtype)
      708    0.003    0.000    0.003    0.000 core.py:1582(__init__)
        3    0.000    0.000    0.000    0.000 core.py:1617(nominal_value)
        1    0.001    0.001    0.005    0.005 core.py:21(<module>)
        1    0.000    0.000    0.000    0.000 core.py:220(NotUpcast)
        1    0.000    0.000    0.000    0.000 core.py:2357(_MaskedPrintOption)
        1    0.000    0.000    0.000    0.000 core.py:2363(__init__)
        4    0.000    0.000    0.000    0.000 core.py:2406(nan_if_exception)
        1    0.000    0.000    0.001    0.001 core.py:2420(get_ops_with_reflection)
        9    0.000    0.000    0.000    0.000 core.py:2526(_arraymethod)
        1    0.000    0.000    0.001    0.001 core.py:2554(add_operators_to_AffineScalarFunc)
        1    0.000    0.000    0.000    0.000 core.py:2574(MaskedIterator)
        1    0.000    0.000    0.000    0.000 core.py:2642(NegativeStdDev)
        1    0.000    0.000    0.000    0.000 core.py:2646(Variable)
      708    0.016    0.000    0.032    0.000 core.py:2659(__init__)
        1    0.000    0.000    0.000    0.000 core.py:2688(MaskedArray)
        3    0.000    0.000    0.000    0.000 core.py:2701(std_dev)
      708    0.004    0.000    0.004    0.000 core.py:2709(std_dev)
      708    0.002    0.000    0.003    0.000 core.py:2738(__hash__)
        1    0.000    0.000    0.000    0.000 core.py:2910(NotParenUncert)
      708    0.005    0.000    0.037    0.000 core.py:3153(ufloat)
        1    0.000    0.000    0.000    0.000 core.py:316(NumericalDerivatives)
        1    0.000    0.000    0.000    0.000 core.py:336(IndexableIter)
       20    0.000    0.000    0.000    0.000 core.py:354(__init__)
       20    0.000    0.000    0.001    0.000 core.py:392(wrap)
        1    0.069    0.069    0.835    0.835 core.py:5(<module>)
        1    0.000    0.000    0.000    0.000 core.py:5918(mvoid)
        1    0.000    0.000    0.000    0.000 core.py:6120(MaskedConstant)
        1    0.000    0.000    0.000    0.000 core.py:6127(__new__)
        1    0.000    0.000    0.000    0.000 core.py:6130(__array_finalize__)
        1    0.000    0.000    0.000    0.000 core.py:6230(_extrema_operation)
        1    0.000    0.000    0.000    0.000 core.py:6287(_minimum_operation)
        1    0.000    0.000    0.000    0.000 core.py:6291(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6301(_maximum_operation)
        1    0.000    0.000    0.000    0.000 core.py:6305(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6358(_frommethod)
       26    0.000    0.000    0.001    0.000 core.py:6369(__init__)
       26    0.000    0.000    0.001    0.000 core.py:6374(getdoc)
       41    0.000    0.000    0.000    0.000 core.py:65(set_doc)
       41    0.000    0.000    0.000    0.000 core.py:72(set_doc_string)
        6    0.000    0.000    0.000    0.000 core.py:732(force_aff_func_args)
        1    0.000    0.000    0.000    0.000 core.py:7850(_convert2ma)
        8    0.000    0.000    0.000    0.000 core.py:7863(__init__)
        8    0.000    0.000    0.000    0.000 core.py:7868(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:796(_DomainCheckInterval)
        3    0.000    0.000    0.000    0.000 core.py:805(__init__)
        1    0.000    0.000    0.000    0.000 core.py:821(_DomainTan)
        1    0.000    0.000    0.000    0.000 core.py:829(__init__)
        1    0.000    0.000    0.000    0.000 core.py:839(_DomainSafeDivide)
        6    0.000    0.000    0.000    0.000 core.py:845(__init__)
        1    0.000    0.000    0.000    0.000 core.py:860(_DomainGreater)
        3    0.000    0.000    0.000    0.000 core.py:866(__init__)
        1    0.000    0.000    0.000    0.000 core.py:876(_DomainGreaterEqual)
        2    0.000    0.000    0.000    0.000 core.py:882(__init__)
        1    0.000    0.000    0.000    0.000 core.py:892(_MaskedUnaryOperation)
        1    0.000    0.000    0.000    0.000 core.py:893(CallableStdDev)
        1    0.000    0.000    0.000    0.000 core.py:90(MaskedArrayFutureWarning)
       27    0.000    0.000    0.000    0.000 core.py:910(__init__)
        4    0.000    0.000    0.000    0.000 core.py:94(doc_note)
       13    0.000    0.000    0.000    0.000 core.py:951(<genexpr>)
        1    0.000    0.000    0.000    0.000 core.py:971(_MaskedBinaryOperation)
       18    0.000    0.000    0.000    0.000 core.py:991(__init__)
     2816    0.113    0.000    9.526    0.003 csv.py:104(next)
        1    0.000    0.000    0.000    0.000 csv.py:127(DictWriter)
        1    0.000    0.000    0.000    0.000 csv.py:166(Sniffer)
        1    0.000    0.000    0.000    0.000 csv.py:26(Dialect)
        1    0.088    0.088    0.088    0.088 csv.py:4(<module>)
        1    0.000    0.000    0.000    0.000 csv.py:57(excel)
        1    0.000    0.000    0.000    0.000 csv.py:67(excel_tab)
        1    0.000    0.000    0.000    0.000 csv.py:73(DictReader)
      208    0.002    0.000    0.005    0.000 csv.py:74(__init__)
      208    0.000    0.000    0.000    0.000 csv.py:83(__iter__)
