Found a cookie file at /afs/cern.ch/user/p/pgunnell/private/prod-cookie.txt. Make sure it's not expired!
Using sso-cookie file /afs/cern.ch/user/p/pgunnell/private/prod-cookie.txt
Dataset name                                   PrepID root request                                         Link to PrepID root request
TprimeBToTZ_M-1600_Width-20p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00120    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00120
TprimeBToTZ_M-1600_Width-30p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00121    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00121
TprimeBToTZ_M-1700_Width-10p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00122    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00122
TprimeBToTZ_M-1800_Width-10p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00123    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00123
TprimeBToTZ_M-1800_Width-20p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00124    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00124
TprimeBToTZ_M-1800_Width-30p_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00125    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00125
TprimeBToTZ_M-1500_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00086    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00086
TprimeBToTZ_M-1600_LH_TuneCP5_13TeV-madgraph-pythia8    B2G-RunIIFall17wmLHEGS-00087    https://cms-pdmv.cern.ch/mcm/requests?prepid=B2G-RunIIFall17wmLHEGS-00087
ZToEE_NNPDF31_13TeV-powheg_M_50_120    EXO-RunIIFall17wmLHEGS-00012    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00012
ZToEE_NNPDF31_13TeV-powheg_M_120_200    EXO-RunIIFall17wmLHEGS-00013    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00013
ZToEE_NNPDF31_13TeV-powheg_M_200_400    EXO-RunIIFall17wmLHEGS-00014    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00014
ZToEE_NNPDF31_13TeV-powheg_M_400_800    EXO-RunIIFall17wmLHEGS-00015    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00015
ZToEE_NNPDF31_13TeV-powheg_M_800_1400    EXO-RunIIFall17wmLHEGS-00016    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00016
ZToEE_NNPDF31_13TeV-powheg_M_1400_2300    EXO-RunIIFall17wmLHEGS-00017    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00017
ZToEE_NNPDF31_13TeV-powheg_M_2300_3500    EXO-RunIIFall17wmLHEGS-00018    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00018
ZToEE_NNPDF31_13TeV-powheg_M_3500_4500    EXO-RunIIFall17wmLHEGS-00019    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00019
ZToEE_NNPDF31_13TeV-powheg_M_4500_6000    EXO-RunIIFall17wmLHEGS-00020    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00020
ZToEE_NNPDF31_13TeV-powheg_M_6000_Inf    EXO-RunIIFall17wmLHEGS-00021    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00021
ZToMuMu_NNPDF31_13TeV-powheg_M_120_200    EXO-RunIIFall17wmLHEGS-00023    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00023
ZToMuMu_NNPDF31_13TeV-powheg_M_200_400    EXO-RunIIFall17wmLHEGS-00024    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00024
ZToMuMu_NNPDF31_13TeV-powheg_M_400_800    EXO-RunIIFall17wmLHEGS-00025    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00025
ZToMuMu_NNPDF31_13TeV-powheg_M_800_1400    EXO-RunIIFall17wmLHEGS-00026    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00026
ZToMuMu_NNPDF31_13TeV-powheg_M_1400_2300    EXO-RunIIFall17wmLHEGS-00027    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00027
ZToMuMu_NNPDF31_13TeV-powheg_M_2300_3500    EXO-RunIIFall17wmLHEGS-00028    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00028
ZToMuMu_NNPDF31_13TeV-powheg_M_3500_4500    EXO-RunIIFall17wmLHEGS-00029    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00029
ZToMuMu_NNPDF31_13TeV-powheg_M_4500_6000    EXO-RunIIFall17wmLHEGS-00030    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00030
ZToMuMu_NNPDF31_13TeV-powheg_M_6000_Inf    EXO-RunIIFall17wmLHEGS-00031    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00031
WJetsToQQ_HT400to600_TuneCP5_13TeV-madgraphMLM-pythia8    EXO-RunIIFall17wmLHEGS-00033    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00033
WJetsToQQ_HT600to800_TuneCP5_13TeV-madgraphMLM-pythia8    EXO-RunIIFall17wmLHEGS-00034    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00034
WJetsToQQ_HT-800toInf_TuneCP5_13TeV-madgraphMLM-pythia8    EXO-RunIIFall17wmLHEGS-00035    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00035
ZJetsToQQ_HT400to600_TuneCP5_13TeV-madgraphMLM-pythia8    EXO-RunIIFall17wmLHEGS-00036    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00036
ZJetsToQQ_HT-800toInf_TuneCP5_13TeV-madgraphMLM-pythia8    EXO-RunIIFall17wmLHEGS-00038    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00038
VectorDiJet1Jet_madgraph_Mphi75Mchi3000_13TeV    EXO-RunIIFall17wmLHEGS-00049    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00049
VectorDiJet1Jet_madgraph_Mphi50Mchi3000_13TeV    EXO-RunIIFall17wmLHEGS-00050    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00050
VectorDiJet1Jet_madgraph_Mphi100Mchi3000_13TeV    EXO-RunIIFall17wmLHEGS-00051    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00051
VectorDiJet1Jet_madgraph_Mphi115Mchi3000_13TeV    EXO-RunIIFall17wmLHEGS-00052    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00052
VectorDiJet1Jet_madgraph_Mphi125Mchi3000_13TeV    EXO-RunIIFall17wmLHEGS-00053    https://cms-pdmv.cern.ch/mcm/requests?prepid=EXO-RunIIFall17wmLHEGS-00053
